Date,Open,High,Low,Close,Adj Close,Volume
12-01-2022,49.169998,49.380001,48.68,48.860001,47.748226,41378000
13-01-2022,48.919998,49.490002,48.630001,48.759998,47.650494,46337500
14-01-2022,47.52,48.23,47.189999,47.91,46.819839,72953300
18-01-2022,47.849998,47.919998,46.049999,46.259998,45.207382,65877400
19-01-2022,48.389999,48.580002,46.349998,46.439999,45.383286,84451800
20-01-2022,46.689999,47.049999,45.66,45.75,44.708988,46265300
21-01-2022,45.57,46.02,44.66,44.919998,43.897873,71303600
24-01-2022,43.900002,44.689999,42.59,44.549999,43.536297,90672700
25-01-2022,44.290001,45.57,43.830002,45.43,44.396267,73555300
26-01-2022,45.779999,46.459999,45.259998,45.900002,44.855579,63735800
27-01-2022,46.369999,46.75,45.09,45.470001,44.435364,63402400
28-01-2022,45.330002,45.889999,44.450001,45.869999,44.82626,51048300
31-01-2022,45.52,46.27,45.220001,46.139999,45.090115,44793700
01-02-2022,46.209999,47.099998,45.900002,46.939999,45.87191,40326600
02-02-2022,46.720001,46.959999,46.299999,46.889999,45.823048,41125600
03-02-2022,47.220001,47.290001,46.349998,46.43,45.373516,35879900
04-02-2022,47.080002,48.689999,46.68,48.279999,47.181419,60297100
07-02-2022,48.560001,48.759998,47.990002,48.509998,47.406181,44824800
08-02-2022,49.150002,50.02,48.939999,49.380001,48.25639,49560500
09-02-2022,49.220001,49.790001,49.029999,49.279999,48.158665,33861100
10-02-2022,49.68,50.110001,48.759998,49.049999,47.933895,47082800
11-02-2022,48.630001,49.439999,47.5,47.919998,46.829609,61056000
14-02-2022,48.02,48.189999,46.939999,47.419998,46.340984,44791900
15-02-2022,48,48.369999,47.57,47.790001,46.702572,42397600
16-02-2022,47.439999,48.240002,47.310001,47.68,46.595074,36664600
17-02-2022,47,47.290001,45.950001,46.07,45.021709,49442400
18-02-2022,46.07,46.540001,45.720001,45.959999,44.914207,37856500
22-02-2022,45.169998,45.98,45.040001,45.560001,44.523315,51905600
23-02-2022,45.950001,46.110001,44.57,44.779999,43.761055,45704900
24-02-2022,43,43.68,42.049999,43.599998,42.60791,80484800
25-02-2022,43.810001,45.349998,43.630001,45.02,43.995598,68530700
28-02-2022,43.720001,44.259998,43.439999,44.200001,43.194256,69955300
01-03-2022,43.709999,43.740002,41.93,42.470001,41.50362,74895600
02-03-2022,42.740002,43.540001,42.619999,43.16,42.177921,70834600
03-03-2022,43.09,43.5,42.209999,42.490002,41.726192,48733800
04-03-2022,41.43,41.439999,40.32,40.950001,40.213875,75572800
07-03-2022,39.93,40.110001,38.209999,38.34,37.650791,109779000
08-03-2022,39.07,39.66,38.169998,38.59,37.896297,76553800
09-03-2022,40.310001,41.610001,40.16,41.040001,40.302254,78207900
10-03-2022,40.290001,41.48,40.110001,40.669998,39.938908,48804400
11-03-2022,41.040001,41.380001,40.290001,40.330002,39.605022,43946600
14-03-2022,40.900002,42.18,40.900002,41.200001,40.459381,54262400
15-03-2022,41.259998,41.779999,40.869999,41.5,40.753986,41395300
16-03-2022,42.240002,43.049999,41.919998,42.799999,42.030617,59477600
17-03-2022,42.41,43.040001,41.830002,43.029999,42.256481,50260200
18-03-2022,42.759998,42.93,42.259998,42.900002,42.128822,74470600
21-03-2022,43.349998,43.43,42.509998,42.84,42.069897,47106400
22-03-2022,43.82,44.630001,43.700001,44.18,43.385811,52360600
23-03-2022,43.720001,44.009998,43.029999,43.09,42.315403,48539300
24-03-2022,43.380001,43.43,42.889999,43.07,42.295765,30360800
25-03-2022,43.48,44.259998,43.330002,43.73,42.943901,38968100
28-03-2022,43.709999,43.75,42.830002,43.549999,42.767132,37428600
29-03-2022,44.25,44.389999,43.110001,43.439999,42.659111,46355800
30-03-2022,43.439999,43.650002,42.75,43,42.22702,36601800
31-03-2022,42.84,42.889999,41.200001,41.220001,40.479023,67902500
01-04-2022,41.689999,41.740002,40.349998,40.900002,40.164772,61929200
04-04-2022,40.48,41.139999,40.16,40.830002,40.096035,53761700
05-04-2022,40.439999,40.759998,40.040001,40.139999,39.418434,51781700
06-04-2022,39.740002,40.009998,39.349998,39.700001,38.986343,54159800
07-04-2022,39.889999,39.98,38.849998,39.389999,38.681915,54585000
08-04-2022,39.490002,40.099998,39.32,39.669998,38.956879,41018900
11-04-2022,39.48,40.400002,39.389999,39.59,38.878323,34198700
12-04-2022,39.57,40.080002,38.849998,39.169998,38.465866,42855300
